Grant Name,Sponsor,Link,Open Date,Deadline,Status
Chicago FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-CHI-TA-CRO-2021-2006849),Department of Commerce,https://www.grants.gov/search-results-detail/332125,03/15/2021,,posted
Philadelphia FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-PHI-TA-PRO-2021-2006851),Department of Commerce,https://www.grants.gov/search-results-detail/332138,03/15/2021,,posted
Notice of Funding Opportunity (NOFO) SUSI Civic Engagement and Environmental Issues Selection Process (SPAINNOFOSUSI2023),U.S. Mission to Spain,https://www.grants.gov/search-results-detail/344137,10/21/2022,,forecasted
Modern Equipment for Shared-use Biomedical Research Facilities: Advancing Research-Related Operations (S15 Clinical Trial Not Allowed) (PAR-24-259),National Institutes of Health,https://www.grants.gov/search-results-detail/355855,08/02/2024,09/25/2026,posted
Combustion and Fire Systems (PD-23-1407),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347509,04/14/2023,,posted
Seattle FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-SEA-TA-SRO-2021-2006853),Department of Commerce,https://www.grants.gov/search-results-detail/332127,03/15/2021,,posted
Mind and Body Interventions to Restore Whole Person Health via Emotional Well-Being Mechanisms (NOT-AT-25-006),National Institutes of Health,https://www.grants.gov/search-results-detail/359155,05/28/2025,,forecasted
Maximizing Investigators' Research Award (FOR-GM-27-002),National Institutes of Health,https://www.grants.gov/search-results-detail/359862,06/30/2025,,forecasted
Support for a National Electronic Interstate Records Exchange System (HHS-2025-ACF-ACYF-CO-0079),Administration for Children and Families - ACYF/CB,https://www.grants.gov/search-results-detail/356022,08/13/2024,,forecasted
Environmental Engineering (PD-20-1440),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/320490,09/11/2019,,posted
US Army Combat Capabilities Development Command Broad Agency Announcement (W911QY25R0023),ACC APG - Natick,https://www.grants.gov/search-results-detail/360012,07/14/2025,02/27/2030,posted
Enhancement and Management of Established Biomedical Data Repositories and Knowledgebases (U24 Clinical Trial Not Allowed) (PAR-23-237),National Institutes of Health,https://www.grants.gov/search-results-detail/350051,08/30/2023,01/25/2026,posted
Maximizing Investigators Research Award (MIRA) for Early Stage Investigators (ESI) (R35 - Clinical Trial Optional) (PAR-23-145),National Institutes of Health,https://www.grants.gov/search-results-detail/347720,04/24/2023,02/03/2026,posted
Interfacial Engineering (PD-23-1417),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347326,04/05/2023,,posted
Laboratories to Optimize Digital Health (R01 Clinical Trial Required) (PAR-25-136),National Institutes of Health,https://www.grants.gov/search-results-detail/357034,11/07/2024,01/07/2028,posted
Examining the Impact of Artificial Intelligence (AI) on Healthcare Safety (R18) (PA-24-261),Agency for Health Care Research and Quality,https://www.grants.gov/search-results-detail/355419,07/16/2024,05/25/2027,posted
USDA/USDOI Joint Fire Science Program (JFSP) (L20AS00080),Bureau of Land Management,https://www.grants.gov/search-results-detail/325472,03/16/2020,,forecasted
Public Diplomacy Small Grants Program (DOS-USEU-PD-2020-002),U.S. Mission to the European Union,https://www.grants.gov/search-results-detail/327185,05/20/2020,,forecasted
Chesapeake Center for Collaborative Computing (EPA-R3-CBP-25-01),Environmental Protection Agency,https://www.grants.gov/search-results-detail/360119,07/23/2025,09/10/2025,posted
FY 2021 - 2023 Economic Development RNTA (EDA-HDQ-RNTA-2021),Department of Commerce,https://www.grants.gov/search-results-detail/334079,06/09/2021,,posted
