Grant Name	Sponsor	Link	Opp ID	Opportunity Number	Open Date	Deadline	Status	Award max	Award min	Match %	Funding Instrument	Categories	Eligibility	Synopsis snippet
NCCIH Natural Product Mid Phase Clinical Trial (R01 Clinical Trial Required) (PAR-25-271)	National Institutes of Health	https://www.grants.gov/search-results-detail/357493	357493	PAR-25-271	12/02/2024	11/13/2026	posted							
Development of Psychosocial Therapeutic and Preventive Interventions for Mental Disorders (R33 Clinical Trial Required) (PAR-25-181)	National Institutes of Health	https://www.grants.gov/search-results-detail/357426	357426	PAR-25-181	11/26/2024	10/15/2027	posted							
Small Grant Program in the People's Republic of China (EAPBJ-19-GR-001-EAP-050919)	U.S. Mission to China	https://www.grants.gov/search-results-detail/315723	315723	EAPBJ-19-GR-001-EAP-050919	05/09/2019		forecasted							
Promoting the Voices and Engagement of Persons with Lived Experience to Prevent Labor Exploitation (NOI-ILAB-24-08)	Bureau of International Labor Affairs	https://www.grants.gov/search-results-detail/356208	356208	NOI-ILAB-24-08	08/26/2024		forecasted							
Global Health Security Partnership Engagement: Continuing to Expand Efforts and Strategies to Protect and Improve Public Health in Cameroon (CDC-RFA-JG-26-0041)	Centers for Disease Control-GHC	https://www.grants.gov/search-results-detail/360329	360329	CDC-RFA-JG-26-0041	08/21/2025		forecasted							
Partnerships with MCC Program (95332419N0001)	Millennium Challenge Corporation	https://www.grants.gov/search-results-detail/314279	314279	95332419N0001	03/26/2019	03/31/2027	posted							
Fiscal Year (FY) 2026 Department of the Navy (DoN) Historically Black Colleges and Universities/Minority Institutions (HBCU/MI) Program (N0001425SF005)	Office of Naval Research	https://www.grants.gov/search-results-detail/359909	359909	N0001425SF005	07/02/2025	12/12/2025	posted							
Meet the Corner Program FY2024 (TIRAMERICANSPACESFY24)	U.S. Mission to Albania	https://www.grants.gov/search-results-detail/355791	355791	TIRAMERICANSPACESFY24	08/01/2024		forecasted							
U.S.-Qatar Partnership Initiative: Celebrating America 250 and Beyond (OFOP0002219)	U.S. Mission to Qatar	https://www.grants.gov/search-results-detail/360186	360186	OFOP0002219	07/31/2025	08/30/2025	posted							
DoD Rare Cancers, Resource and Community Development Award (HT942525RCRPRCDA)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/358795	358795	HT942525RCRPRCDA	05/01/2025	10/06/2025	posted							
Notice of Intent to Publish a Request for Concept Notes Announcement on Capacity Development for the Reception &amp; Placement Program (PRM-A-NOI-01)	Bureau of Population Refugees and Migration	https://www.grants.gov/search-results-detail/339686	339686	PRM-A-NOI-01	04/21/2022		forecasted							
Legacy Resource Management Program (HQ003423NFOEASD07)	Washington Headquarters Services	https://www.grants.gov/search-results-detail/348830	348830	HQ003423NFOEASD07	06/21/2023	06/20/2026	posted							
The Countering Violent Extremism Small Grants Program FY2022 (TIRCVEFY22)	U.S. Mission to Albania	https://www.grants.gov/search-results-detail/338874	338874	TIRCVEFY22	03/24/2022		forecasted							
Countering Violent Extremism Small Grants Program FY2023 (TIRCVEFY23)	U.S. Mission to Albania	https://www.grants.gov/search-results-detail/346737	346737	TIRCVEFY23	03/10/2023		forecasted							
Promote Transparency by Enhancing Citizens&rsquo; Access to Information on Public Revenues. (PGO-FY2024-FTIF-01)	U.S. Mission to Mauritania	https://www.grants.gov/search-results-detail/360246	360246	PGO-FY2024-FTIF-01	08/06/2025	09/08/2025	posted							
Department of Defense HIV/AIDS Prevention Program (W81XWH-22-DHAPP)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/343653	343653	W81XWH-22-DHAPP	09/19/2022	09/18/2027	posted							
Developing Country Collaborations in Plant Genome Research (DCC-PGR)  (04-563)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/45657	45657	04-563	03/22/2004		posted							
BRAIN Initiative: Optimization of Instrumentation and Device Technologies for Recording and Modulation in the Nervous System (U01 Clinical Trials Not Allowed) (RFA-NS-25-017)	National Institutes of Health	https://www.grants.gov/search-results-detail/356510	356510	RFA-NS-25-017	09/24/2024	01/20/2026	posted							
BRAIN Initiative: New Technologies and Novel Approaches for Recording and Modulation in the Nervous System (R01 Clinical Trial Not Allowed) (RFA-NS-25-018)	National Institutes of Health	https://www.grants.gov/search-results-detail/356511	356511	RFA-NS-25-018	09/24/2024	01/20/2026	posted							
National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020 &ndash; 2024 (NNH19ZHA001C)	National Aeronautics and Space Administration	https://www.grants.gov/search-results-detail/318918	318918	NNH19ZHA001C	07/29/2019		posted							
U.S. Embassy The Hague, PAS, REMVE Mayoral Exchanges and Summit (S-NL800-20-GR-3013)	U.S. Mission to the Netherlands	https://www.grants.gov/search-results-detail/335069	335069	S-NL800-20-GR-3013	08/02/2021		forecasted							
Humanities Collections and Reference Resources (20250715-PW)	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/355689	355689	20250715-PW	07/29/2024		forecasted							
Health Equity Data Access Program (HEDAP) (CMS-2L2-25-001)	Centers for Medicare & Medicaid Services	https://www.grants.gov/search-results-detail/355646	355646	CMS-2L2-25-001	07/25/2024		forecasted							
Public Affairs Section Notice of Funding Opportunity 2020 (PAS-SCB-600-20-PAS-0001)	U.S. Mission to Cambodia	https://www.grants.gov/search-results-detail/322667	322667	PAS-SCB-600-20-PAS-0001	11/23/2019		forecasted							
U.S. Embassy Phnom Penh &ndash; PAS Annual Program Statement (PAS-CB600-23-0002)	U.S. Mission to Cambodia	https://www.grants.gov/search-results-detail/348863	348863	PAS-CB600-23-0002	06/22/2023		forecasted							


