Grant Name,Sponsor,Link,Open Date,Deadline,Status
WATER RESOURCES RESEARCH ACT PROGRAM NATIONAL COMPETITIVE GRANTS FY2025 PROGRAM ANNOUNCEMENT For AQUATIC INVASIVE SPECIES (G25AS00483),Geological Survey,https://www.grants.gov/search-results-detail/360309,08/15/2025,09/30/2025,posted
WATER RESOURCES RESEARCH ACT PROGRAM NATIONAL COMPETITIVE GRANTS FY2025 (104g General) (G25AS00485),Geological Survey,https://www.grants.gov/search-results-detail/360311,08/15/2025,09/30/2025,posted
Fiscal Year (FY) 2026 State Workforce Agency Unemployment Insurance (UI) Resource Planning Targets and Guidelines (ETA-UIPL-15-25-BASE),Employment and Training Administration,https://www.grants.gov/search-results-detail/360326,08/21/2025,09/22/2025,posted
Residential (Long Term Foster Care) Services for Unaccompanied Children (HHS-2023-ACF-ORR-ZU-0162),Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/340671,05/25/2022,,forecasted
Small Business Innovation Research and Small Business Technology Transfer Programs Phase II (USDA-NIFA-SBIR-011120),National Institute of Food and Agriculture,https://www.grants.gov/search-results-detail/360040,07/16/2025,09/23/2025,posted
U.S. EMBASSY SINGAPORE ANNUAL PROGRAM STATEMENT 2025 (PAS-SINGAPORE-FY25-001),U.S. Mission to Singapore,https://www.grants.gov/search-results-detail/357920,12/30/2024,09/30/2025,posted
Commercial Fishing Occupational Safety Research Cooperative Agreement (U01) (RFA-OH-22-005),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334971,07/08/2022,01/31/2028,posted
Innovative Solutions for Improving Water Quality and Strengthening Local Economies in the Gulf of America Watershed (EPA-R4-GAD-2025-WQ),Environmental Protection Agency,https://www.grants.gov/search-results-detail/358752,07/21/2025,09/19/2025,posted
Commercial Fishing Occupational Safety Training Project Grants (T03) (RFA-OH-22-006),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334972,07/11/2022,01/31/2028,posted
Zimbabwean-U.S. Program for Academic Collaborations (ZUPAC) (AF-HAR-FY23-07),U.S. Mission to Zimbabwe,https://www.grants.gov/search-results-detail/344807,12/08/2022,,forecasted
UI Integrity Center of Excellence Operations (ETA-UI-2025-01),Employment and Training Administration,https://www.grants.gov/search-results-detail/360352,08/25/2025,09/05/2025,posted
"National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering) (RANDENDEPSTEMFY22RFI)",Department of Defense,https://www.grants.gov/search-results-detail/334905,07/27/2021,,forecasted
U.S. Embassy The Hague PD Annual Program Statement (THEHAGUE-FY25-01),U.S. Mission to the Netherlands,https://www.grants.gov/search-results-detail/357133,11/18/2024,,forecasted
Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R21 Clinical Trial Not Allowed) (PAR-25-286),National Institutes of Health,https://www.grants.gov/search-results-detail/357308,11/21/2024,01/07/2028,posted
Rural Community Development Program (RCD) Water and Wastewater Treatment Systems Training and Technical Assistance Project (HHS-2025-ACF-OCS-EF-0177),Administration for Children and Families - OCS,https://www.grants.gov/search-results-detail/355619,07/25/2024,,forecasted
"PHS 2024-2 Omnibus Solicitation of the NIH, CDC and FDA for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Not Allowed) (PA-24-245)",National Institutes of Health,https://www.grants.gov/search-results-detail/355265,07/03/2024,09/05/2025,posted
Community Economic Development Projects (HHS-2025-ACF-OCS-EE-0118),Administration for Children and Families - OCS,https://www.grants.gov/search-results-detail/355604,07/24/2024,,forecasted
Unemployment Insurance Integrity Center of Excellence Operations (ETA-UI-2024-01),Employment and Training Administration,https://www.grants.gov/search-results-detail/356412,09/12/2024,,forecasted
Identification and Evaluation of Possible Approaches to Addressing Nitrosamine Impurities in Drugs (U01) (FOR-FD-24-008),Food and Drug Administration,https://www.grants.gov/search-results-detail/351131,11/24/2023,,forecasted
Cooperative Agreement to Support a Human Abuse Potential Study of Botanical Kratom (U01 Clinical Trial Required) (FOR-FD-24-010),Food and Drug Administration,https://www.grants.gov/search-results-detail/351137,11/24/2023,,forecasted
Integrated Food Safety System Regulatory and Laboratory Training System National Coordination Center (FOR-FD-25-005),Food and Drug Administration,https://www.grants.gov/search-results-detail/356045,08/14/2024,,forecasted
Analytical and Clinical Validation of Biomarkers for Alzheimers Disease (AD) and AD-Related Dementias (ADRD) (U01 Clinical Trial Optional) (PAR-25-209),National Institutes of Health,https://www.grants.gov/search-results-detail/357139,11/14/2024,03/05/2026,posted
Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R01 Clinical Trial Not Allowed) (PAR-25-287),National Institutes of Health,https://www.grants.gov/search-results-detail/357309,11/21/2024,01/07/2028,posted
Forecast to Publish a Notice of Funding Opportunity (NOFO) for NCI Community Oncology Research Program (NCORP) Research Bases (UG1 Clinical Trial Required) (NOT-CA-25-042),National Institutes of Health,https://www.grants.gov/search-results-detail/358963,05/28/2025,,forecasted
Tobacco Regulatory Science Small Grant Program for New Investigators (R03 Clinical Trial Optional) (RFA-OD-25-008),National Institutes of Health,https://www.grants.gov/search-results-detail/358930,06/24/2025,07/14/2026,posted
Data Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative U24 Clinical Trial Required) (PAR-22-193),National Institutes of Health,https://www.grants.gov/search-results-detail/342125,07/12/2022,01/11/2026,posted
PRIMED-AI: Logistics Center (U24 Clinical Trial Not Allowed) (NOT-RM-25-026),National Institutes of Health,https://www.grants.gov/search-results-detail/359268,06/06/2025,,forecasted
EPSCoR Research Infrastructure Improvement (RII): EPSCoR Research Fellows (24-528),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/351923,01/23/2024,04/14/2026,posted
Plasma Physics (PD-23-1242),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350018,08/29/2023,11/17/2025,posted
Notice of Intent to Publish a Funding Opportunity Announcement for Single Source for Continuation of the Integrated Islet Distribution Program (UC4) (NOT-DK-26-316),National Institutes of Health,https://www.grants.gov/search-results-detail/358917,05/12/2025,,forecasted
National Center on Program Management and Quality Assurance (HHS-2026-ACF-OHS-HC-0103),Administration for Children and Families - OHS,https://www.grants.gov/search-results-detail/359837,06/26/2025,,forecasted
"National Center on Head Start Early Learning, Health and Family Engagement (HHS-2026-ACF-OHS-HC-0002)",Administration for Children and Families - OHS,https://www.grants.gov/search-results-detail/359836,06/26/2025,,forecasted
Selective Precision Targeting (SPoT) (FOR-TR-27-003),National Institutes of Health,https://www.grants.gov/search-results-detail/359852,06/27/2025,,forecasted
Addressing Methodological Challenges with Clinical Trials of Psychotomimetic Agents (FOR-MH-26-185),National Institutes of Health,https://www.grants.gov/search-results-detail/359202,06/17/2025,,forecasted
"NIH, CDC and FDA Small Business Innovation Research Grant (Parent SBIR [R43/R44] Clinical Trial Not Allowed) (FOR-OD-26-001)",National Institutes of Health,https://www.grants.gov/search-results-detail/359671,06/18/2025,,forecasted
ROSES 2025: A.4 Rapid Response and Novel Research in Earth Science (NNH25ZDA001N-RRNES),NASA Headquarters,https://www.grants.gov/search-results-detail/359996,07/11/2025,03/31/2026,posted
ROSES 2025: A.2 Earth Venture: TROPICS and PREFIRE Science and Applications Teams (NNH25ZDA001N-EVPT),NASA Headquarters,https://www.grants.gov/search-results-detail/359992,07/11/2025,11/13/2025,posted
