Grant Name,Sponsor,Link,Open Date,Deadline,Status,Relevance,EQORE Fit,Ease of Use,Match %,Opp ID,Opportunity Number
AFCP 2020 Small Grants Competition (AFCPLG20),U.S. Mission to Egypt,https://www.grants.gov/search-results-detail/322815,12/02/2019,,forecasted,0.0,3.0,4.0,,322815,AFCPLG20
NIDCD Early Career Research(ECR) Award (R21 Clinical Trial Optional) (PAR-25-120),National Institutes of Health,https://www.grants.gov/search-results-detail/356763,10/18/2024,10/15/2027,posted,0.5,3.0,5.0,,356763,PAR-25-120
U.S. Embassy Luanda Public Diplomacy Section Request for a Full Proposal Application (DOS-PAS-ANG-FY25-01),U.S. Mission to Angola,https://www.grants.gov/search-results-detail/358783,04/30/2025,,forecasted,0.0,3.0,4.0,,358783,DOS-PAS-ANG-FY25-01
Mathematical Foundations of Artificial Intelligence (24-569),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/353936,05/02/2024,10/10/2025,posted,0.0,3.0,3.0,,353936,24-569
"Safety, Security, and Privacy of Open-Source Ecosystems (24-608)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356472,09/20/2024,04/28/2026,posted,0.0,3.0,5.0,,356472,24-608
Pathways to Enable Open-Source Ecosystems (24-606),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356423,09/14/2024,09/02/2025,posted,0.0,3.0,1.0,,356423,24-606
NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed) (PAR-24-143),National Institutes of Health,https://www.grants.gov/search-results-detail/352273,02/08/2024,05/07/2027,posted,0.5,3.0,5.0,,352273,PAR-24-143
NIDCD Research Career Enhancement Award for Established Investigators (K18 Independent Basic Experimental Studies with Humans Required) (PAR-24-142),National Institutes of Health,https://www.grants.gov/search-results-detail/352272,02/08/2024,05/07/2027,posted,0.5,3.0,5.0,,352272,PAR-24-142
NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Required) (PAR-24-140),National Institutes of Health,https://www.grants.gov/search-results-detail/352270,02/08/2024,05/07/2027,posted,0.5,3.0,5.0,,352270,PAR-24-140
Advancing HIV/AIDS Research within the Mission of the NIDCD (R01 Clinical Trial Optional) (PAR-25-319),National Institutes of Health,https://www.grants.gov/search-results-detail/358079,01/08/2025,01/07/2028,posted,1.0,3.0,5.0,,358079,PAR-25-319
Advancing HIV/AIDS Research within the Mission of the NIDCD (R21 Clinical Trial Optional) (PAR-25-318),National Institutes of Health,https://www.grants.gov/search-results-detail/358080,01/08/2025,01/07/2028,posted,1.0,3.0,5.0,,358080,PAR-25-318
Understanding the Intersection of Forced Scamming and Child Labor in Southeast Asia (RFI-ILAB-24-01),Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/357126,11/14/2024,,forecasted,0.5,3.0,4.0,,357126,RFI-ILAB-24-01
Alumni Engagement Innovation Fund 2024 (2024-01),U.S. Mission to Latvia,https://www.grants.gov/search-results-detail/350831,11/02/2023,,forecasted,0.5,3.0,4.0,,350831,2024-01
AFCP 2020 Small Grants Competition (AFCP20),U.S. Mission to Egypt,https://www.grants.gov/search-results-detail/322814,12/02/2019,,forecasted,0.0,3.0,4.0,,322814,AFCP20
Developmental Sciences (24-544),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/352455,02/15/2024,01/30/2026,posted,0.0,3.0,5.0,,352455,24-544
Correctness for Scientific Computing Systems (24-571),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/354144,05/10/2024,08/11/2026,posted,0.0,3.0,5.0,,354144,24-571
Cultural Anthropology Program - Doctoral Dissertation Research Improvement Grants (24-605),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356415,09/13/2024,01/15/2026,posted,0.5,3.0,5.0,,356415,24-605
BRAIN Initiative: Research Opportunities Using Invasive Neural Recording and Stimulating Technologies in the Human Brain (U01 Basic Experimental Studies with Humans Required) (RFA-NS-26-007),National Institutes of Health,https://www.grants.gov/search-results-detail/360402,08/28/2025,,forecasted,1.0,3.0,4.0,,360402,RFA-NS-26-007
Somalia Operational Mentorship and Sustainment Capacity Building (DFOP0017536),Bureau of Political-Military Affairs - WRA,https://www.grants.gov/search-results-detail/360248,08/06/2025,09/03/2025,posted,0.5,3.0,1.0,,360248,DFOP0017536
FY 2026 International Visitor Leadership Program&rsquo;s National Program Agencies (DFOP0017385),Bureau Of Educational and Cultural Affairs,https://www.grants.gov/search-results-detail/359957,07/09/2025,09/08/2025,posted,0.5,2.0,2.0,,359957,DFOP0017385
FY 2026 International Visitor Leadership Program Collaborative Services (DFOP0017389),Bureau Of Educational and Cultural Affairs,https://www.grants.gov/search-results-detail/359958,07/09/2025,09/08/2025,posted,0.5,2.0,2.0,,359958,DFOP0017389
Research Interests of the United States Air Force Academy (formerly USAFA-BAA-2021) (FA7000-21-S-0001),Air Force Academy,https://www.grants.gov/search-results-detail/330175,12/02/2020,,posted,1.0,3.0,3.0,,330175,FA7000-21-S-0001
Naval Engineering Education Consortium (NEEC) Broad Agency Announcement for Fiscal Year 2026 (N00178-26-0001),NSWC Dahlgren,https://www.grants.gov/search-results-detail/360183,07/30/2025,,forecasted,0.0,3.0,4.0,,360183,N00178-26-0001
Health Home for Individuals with Chronic Conditions (CMS-2J2-23-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343827,09/30/2022,10/01/2025,posted,0.5,3.0,3.0,,343827,CMS-2J2-23-001
Health Home for Children with Medically Complex Conditions (CMS-3J3-23-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343826,09/30/2022,10/01/2025,posted,0.5,3.0,3.0,,343826,CMS-3J3-23-001
Air Force Defense Research Sciences Conference and Workshop Support (BAA-AFRL-AFOSR-2016-0008),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/286437,07/22/2016,,posted,1.0,3.0,3.0,,286437,BAA-AFRL-AFOSR-2016-0008
FY2025 ABPP - Battlefield Land Acquisition Grant (P25AS00478),National Park Service,https://www.grants.gov/search-results-detail/357992,01/03/2025,09/15/2025,posted,0.0,3.0,2.0,,357992,P25AS00478
FY2026 ABPP - Battlefield Land Acquisition Grant (P26AS00019),National Park Service,https://www.grants.gov/search-results-detail/360378,08/28/2025,09/30/2026,posted,0.0,3.0,5.0,,360378,P26AS00019
Scholarly Editions and Translations (20241127-RQ),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/351491,07/25/2024,12/03/2025,posted,0.0,3.0,4.0,,351491,20241127-RQ
Air Force Fiscal Year 2026 Young Investigator Program (YIP) (NOFOAFRLAFOSR20250006),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/359762,06/30/2025,09/19/2025,posted,1.0,3.0,2.0,,359762,NOFOAFRLAFOSR20250006
Development of Fiscal Year 2026 Commercial Vehicle Safety Plans to Support National Safety Goals (FM-MCG-26-001),DOT-Federal Motor Carrier Safety Administration,https://www.grants.gov/search-results-detail/360025,07/14/2025,09/09/2025,posted,0.0,4.0,2.0,20.0,360025,FM-MCG-26-001
Solomon Islands Threshold Program Industry Day (SI-INDUSTRY-DAY),Millennium Challenge Corporation,https://www.grants.gov/search-results-detail/331415,02/10/2021,,forecasted,0.0,3.0,4.0,,331415,SI-INDUSTRY-DAY
NSWC Dahlgren BAA N00178-25-0002 (N00178-25-0002),NSWC Dahlgren,https://www.grants.gov/search-results-detail/356715,10/15/2024,10/14/2025,posted,0.0,3.0,3.0,,356715,N00178-25-0002
Dairy Business Innovation Initiatives Program (DBI) Fiscal Year 2025 (USDA-AMS-TM-DBI-G-25-0008),Agricultural Marketing Service,https://www.grants.gov/search-results-detail/360013,07/14/2025,09/09/2025,posted,1.0,3.0,2.0,,360013,USDA-AMS-TM-DBI-G-25-0008
U.S. Embassy Cotonou PDS Request for Statements of Interest (PDS-RCS-FY25),U.S. Mission to Benin,https://www.grants.gov/search-results-detail/358808,05/02/2025,,forecasted,0.0,3.0,4.0,,358808,PDS-RCS-FY25
FY2025 Golden Mussel Prevention and Control in the Western United States (F25AS00320),Fish and Wildlife Service,https://www.grants.gov/search-results-detail/360252,08/06/2025,10/06/2025,posted,0.0,3.0,3.0,,360252,F25AS00320
2026 Low Income Taxpayer Clinic (TREAS-GRANTS-042026-001),Low Income Taxpayer Clinic ,https://www.grants.gov/search-results-detail/358958,05/14/2025,,forecasted,0.0,3.0,4.0,,358958,TREAS-GRANTS-042026-001
Boosting Innovative GEOINT - Science &amp; Technology  Broad Agency Announcement (BIG-ST BAA) (HM047623BAA0001),National Geospatial-Intelligence Agency ,https://www.grants.gov/search-results-detail/351404,12/15/2023,12/14/2026,posted,0.0,3.0,5.0,,351404,HM047623BAA0001
Microsystems Technology Office (MTO) Office-wide (HR001124S0028),DARPA - Microsystems Technology Office ,https://www.grants.gov/search-results-detail/354134,05/09/2024,10/09/2025,posted,0.0,3.0,3.0,,354134,HR001124S0028
"Residential (Group Home, Shelter, Transitional Foster Care) Services for Unaccompanied Alien Children (HHS-2025-ACF-ORR-ZU-0042)",Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/357220,08/15/2025,10/14/2025,posted,0.0,3.0,3.0,,357220,HHS-2025-ACF-ORR-ZU-0042
Small Business Innovation Research and Small Business Technology Transfer Programs Phase II (USDA-NIFA-SBIR-011120),National Institute of Food and Agriculture,https://www.grants.gov/search-results-detail/360040,07/16/2025,09/23/2025,posted,1.5,3.0,2.0,,360040,USDA-NIFA-SBIR-011120
Air Delivered Effects (FA8651-22-S-0001),Munitions Directorate,https://www.grants.gov/search-results-detail/338821,03/22/2022,03/21/2027,posted,0.5,3.0,5.0,,338821,FA8651-22-S-0001
Research and Development (RAD) Directed Energy (RD) University Assistance Instruments (RDK-RAD-FOA-2024),Air Force -- Research Lab,https://www.grants.gov/search-results-detail/355499,07/18/2024,07/18/2029,posted,2.0,3.0,5.0,,355499,RDK-RAD-FOA-2024
English-Language Program for Disadvantaged Communities Initiatives Program (DOS-AZE-PD-24-02),U.S. Mission to Azerbaijan,https://www.grants.gov/search-results-detail/353012,03/18/2024,,forecasted,0.5,3.0,4.0,,353012,DOS-AZE-PD-24-02
Request for Information (RFI) No.  95332421K0004 - Community Engagement Services for the Solomon Islands Threshold Program (95332421K0004),Millennium Challenge Corporation,https://www.grants.gov/search-results-detail/331311,02/04/2021,,forecasted,0.5,3.0,4.0,,331311,95332421K0004
Embassy Belgrade PAS - University Partnership (SRB10020FO006),U.S. Mission to Serbia,https://www.grants.gov/search-results-detail/327658,06/12/2020,,forecasted,0.5,3.0,4.0,,327658,SRB10020FO006
Bipartisan Infrastructure Law - Carbon Dioxide Transportation Infrastructure Finance and Innovation (CIFIA) Program: Future Growth Grants (Section 40304) (DE-FOA-0002966),National Energy Technology Laboratory,https://www.grants.gov/search-results-detail/353946,05/02/2024,01/02/2026,posted,1.5,4.0,5.0,,353946,DE-FOA-0002966
Annual Program Statement for U.S. Presentation at International Art Biennales (DFOP0017204),Bureau Of Educational and Cultural Affairs,https://www.grants.gov/search-results-detail/360164,07/29/2025,01/01/2099,posted,0.5,2.0,5.0,,360164,DFOP0017204
State Loan Repayment Program (State LRP) (HRSA-26-015),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/355777,07/24/2025,01/12/2026,posted,0.0,3.0,5.0,,355777,HRSA-26-015
Chesapeake Center for Collaborative Computing (EPA-R3-CBP-25-01),Environmental Protection Agency,https://www.grants.gov/search-results-detail/360119,07/23/2025,09/10/2025,posted,0.0,3.0,2.0,,360119,EPA-R3-CBP-25-01
Strengthening ties between the U.S. and Cyprus (PAS-CY600-FY25-0001),U.S. Mission to Cyprus,https://www.grants.gov/search-results-detail/358811,05/05/2025,,forecasted,0.0,3.0,4.0,,358811,PAS-CY600-FY25-0001
Legacy Resource Management Program (HQ003423NFOEASD07),Washington Headquarters Services,https://www.grants.gov/search-results-detail/348830,06/21/2023,06/20/2026,posted,0.0,3.0,5.0,,348830,HQ003423NFOEASD07
TECHGATE (DFOP0017381),Bureau of Cyberspace and Digital Policy,https://www.grants.gov/search-results-detail/360408,08/29/2025,09/02/2025,posted,0.0,3.0,1.0,,360408,DFOP0017381
Annual Program Statement 2025 (PAS-ZAF-FY25-02),U.S. Mission to South Africa,https://www.grants.gov/search-results-detail/357797,12/18/2024,,posted,0.0,3.0,3.0,,357797,PAS-ZAF-FY25-02
Midsize and Large Drinking Water System Infrastructure Resilience and Sustainability Program (EPA-OW-OGWDW-25-01),Environmental Protection Agency,https://www.grants.gov/search-results-detail/360232,08/05/2025,10/06/2025,posted,1.5,3.0,3.0,,360232,EPA-OW-OGWDW-25-01
Defense Sciences Office (DSO) Office-wide BAA (HR001125S0013),DARPA - Defense Sciences Office,https://www.grants.gov/search-results-detail/359239,06/03/2025,06/02/2026,posted,0.0,3.0,5.0,0.0,359239,HR001125S0013
"FY25 ONR Office Of Naval Research (ONR) Science, Technology, Engineering, and Mathematics(STEM) Education and Workforce Program (N0001425SF006)",Office of Naval Research,https://www.grants.gov/search-results-detail/359932,07/07/2025,06/30/2026,posted,1.0,3.0,5.0,,359932,N0001425SF006
National Digital Newspaper Program (20260109-PJ),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/358394,08/20/2025,01/15/2026,posted,0.0,3.0,5.0,,358394,20260109-PJ
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) Department of Defense Army (W911NF25S0004),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/358532,03/05/2025,09/05/2025,posted,1.0,3.0,1.0,,358532,W911NF25S0004
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (N0001425SF002),Office of Naval Research,https://www.grants.gov/search-results-detail/358592,03/25/2025,09/05/2025,posted,1.0,3.0,1.0,,358592,N0001425SF002
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (N001425SF002),Office of Naval Research,https://www.grants.gov/search-results-detail/358585,03/21/2025,09/05/2025,posted,1.0,3.0,1.0,,358585,N001425SF002
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (NOFOAFRLAFOSR20250002),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/358533,03/05/2025,09/05/2025,posted,1.5,3.0,1.0,,358533,NOFOAFRLAFOSR20250002
Public Health Crisis Response Cooperative Agreement (CDC-RFA-TP22-2201),Centers for Disease Control - OPHPR,https://www.grants.gov/search-results-detail/337086,01/13/2022,02/11/2027,posted,0.0,3.0,5.0,,337086,CDC-RFA-TP22-2201
Research Interests of the Air Force Office of Scientific Research (FA955025S0001),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/359050,05/20/2025,,posted,1.0,3.0,3.0,,359050,FA955025S0001
MPPEP Phase 3 Invasive Wild-Caught Catfish (RD-RBS-25-03-MPPEP),Rural Business-Cooperative Service ,https://www.grants.gov/search-results-detail/360256,08/07/2025,10/06/2025,posted,0.5,3.0,3.0,25.0,360256,RD-RBS-25-03-MPPEP
CONTAMINATED ALASKA NATIVE CLAIMS SETTLEMENT ACT LANDS ASSISTANCE PROGRAM (EPA-OLEM-R10-NC-24-01),Environmental Protection Agency,https://www.grants.gov/search-results-detail/351547,12/28/2023,12/31/2025,posted,0.5,3.0,5.0,,351547,EPA-OLEM-R10-NC-24-01
Rare Diseases Clinical Research Consortia (RDCRC) for the Rare Diseases Clinical Research Network (RDCRN) (U54 Clinical Trial Optional) (PAR-25-438),National Institutes of Health,https://www.grants.gov/search-results-detail/358818,06/05/2025,10/16/2025,posted,0.5,3.0,3.0,,358818,PAR-25-438
FY25 VIETNAM WARTIME ACCOUNTING INITIATIVE COOPERATIVE AGREEMENTS (HQ003425NFOEASD10),Washington Headquarters Services,https://www.grants.gov/search-results-detail/360390,08/28/2025,09/28/2025,posted,0.0,3.0,2.0,,360390,HQ003425NFOEASD10
Biological Technologies (HR001124S0034),DARPA - Biological Technologies Office,https://www.grants.gov/search-results-detail/356403,09/11/2024,09/10/2025,posted,0.0,3.0,2.0,,356403,HR001124S0034
Developing Methodologies for Coastal Impacts Associated with Climate Variability (USGS-15-FA-0426),Geological Survey,https://www.grants.gov/search-results-detail/278692,08/27/2015,,posted,0.5,3.0,3.0,,278692,USGS-15-FA-0426
  Regional Resource Condition Assessment  (P16AS00333),National Park Service,https://www.grants.gov/search-results-detail/286103,07/14/2016,,posted,0.0,3.0,3.0,,286103,P16AS00333
R Package Development and Data Certification for the National Park Service Units of the National Capital Region and the Northeast (P16AS00322),National Park Service,https://www.grants.gov/search-results-detail/286105,07/14/2016,,posted,0.5,3.0,3.0,,286105,P16AS00322
Alaska Sea Grant State Fellowship Program (USGS-17-FA-0222),Geological Survey,https://www.grants.gov/search-results-detail/294523,06/09/2017,,posted,0.0,3.0,3.0,,294523,USGS-17-FA-0222
Fundamental Research to Counter Weapons of Mass Destruction (HDTRA1-25-S-0001),Defense Threat Reduction Agency,https://www.grants.gov/search-results-detail/356612,10/01/2024,09/30/2034,posted,0.5,3.0,5.0,0.0,356612,HDTRA1-25-S-0001
Air Dominance Broad Agency Announcement (BAA) (FA865125S0001),Munitions Directorate,https://www.grants.gov/search-results-detail/358674,04/14/2025,10/31/2029,posted,0.5,3.0,5.0,,358674,FA865125S0001
Broad Agency Announcement for Fundamental AI Research (W519TC-25-S-0001),Army Contracting Command Rock Island,https://www.grants.gov/search-results-detail/358687,04/16/2025,,forecasted,1.0,3.0,4.0,,358687,W519TC-25-S-0001
