Grant Name,Sponsor,Link,Open Date,Deadline,Status,Relevance,EQORE Fit,Ease of Use,Match %,Opp ID,Opportunity Number
Personal Health Informatics for Delivering Actionable Insights to Individuals (R01 Clinical Trial Optional) (PAR-25-235),National Institutes of Health,https://www.grants.gov/search-results-detail/357273,11/21/2024,01/07/2027,posted,,,,,357273,PAR-25-235
For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental Influences on Child Health Outcomes (ECHO) Program: Ruth L. Kirschstein NRSA Individual Postdoctoral Fellowship (F32) (FOR-RFA-OD-25-005),National Institutes of Health,https://www.grants.gov/search-results-detail/359150,05/27/2025,,forecasted,,,,,359150,FOR-RFA-OD-25-005
"National Center on Head Start Early Learning, Health and Family Engagement (HHS-2026-ACF-OHS-HC-0002)",Administration for Children and Families - OHS,https://www.grants.gov/search-results-detail/359836,06/26/2025,,forecasted,,,,,359836,HHS-2026-ACF-OHS-HC-0002
Building Interdisciplinary Research Careers in Women's Health (BIRCWH) (K12 Clinical Trial Optional) (RFA-OD-24-013),National Institutes of Health,https://www.grants.gov/search-results-detail/352637,02/26/2024,05/28/2026,posted,,,,,352637,RFA-OD-24-013
Laboratories to Optimize Digital Health (R01 Clinical Trial Required) (PAR-25-136),National Institutes of Health,https://www.grants.gov/search-results-detail/357034,11/07/2024,01/07/2028,posted,,,,,357034,PAR-25-136
Interventions to Reduce Sleep Health Disparities (R01 - Clinical Trials Optional) (PAR-24-330),National Institutes of Health,https://www.grants.gov/search-results-detail/357572,12/06/2024,09/07/2027,posted,,,,,357572,PAR-24-330
Causal Hypotheses on the Oral-Systemic Health Impacts of Human Behaviors among People with Chronic Conditions (FOR-DE-26-004),National Institutes of Health,https://www.grants.gov/search-results-detail/360160,07/29/2025,,forecasted,,,,,360160,FOR-DE-26-004
Improving global health security in C&ocirc;te d'Ivoire through collaboration with local partners (CDC-RFA-JG-26-0042),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360324,08/21/2025,,forecasted,,,,,360324,CDC-RFA-JG-26-0042
Strengthening Public Health Systems in Sierra Leone (CDC-RFA-JG-26-0050),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360335,08/22/2025,,forecasted,,,,,360335,CDC-RFA-JG-26-0050
"Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation (CDC-RFA-JG-26-0108)",Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360345,08/22/2025,,forecasted,,,,,360345,CDC-RFA-JG-26-0108
Innovations for Healthy Living - Improving Minority Health and Eliminating Health Disparities (R43/R44 - Clinical Trial Optional) (RFA-MD-24-006),National Institutes of Health,https://www.grants.gov/search-results-detail/352882,03/08/2024,12/09/2026,posted,,,,,352882,RFA-MD-24-006
Advancing Learning Health Care Research in Outpatient Mental Health Treatment Settings (R34 Clinical Trial Optional) (PAR-25-278),National Institutes of Health,https://www.grants.gov/search-results-detail/357327,11/21/2024,01/07/2026,posted,,,,,357327,PAR-25-278
Tanzania Global Health Security Partner Engagement: Advancing Efforts and Strategies to Protect and Improve Public Health (CDC-RFA-JG-26-0052),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360337,08/22/2025,,forecasted,,,,,360337,CDC-RFA-JG-26-0052
Commercial Fishing Occupational Safety Research Cooperative Agreement (U01) (RFA-OH-22-005),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334971,07/08/2022,01/31/2028,posted,,,,,334971,RFA-OH-22-005
Adult-Adolescent Brain Cognitive Development (A-ABCD) Study Renewal-Research Project Sites (U01) (FOR-DA-27-002),National Institutes of Health,https://www.grants.gov/search-results-detail/358885,05/28/2025,,forecasted,,,,,358885,FOR-DA-27-002
Forecast to Publish a Notice of Funding Opportunity Announcement for the Research Centers in Minority Institutions (RCMI) Coordinating Center (FOR-MD-25-001),National Institutes of Health,https://www.grants.gov/search-results-detail/358857,05/12/2025,,forecasted,,,,,358857,FOR-MD-25-001
"Adult-Adolescent Brain Cognitive Development (A-ABCD) Study Renewal-Data Analysis, Informatics and Resource Center, and Coordinating Center (U24) (FOR-DA-27-007)",National Institutes of Health,https://www.grants.gov/search-results-detail/359275,06/06/2025,,forecasted,,,,,359275,FOR-DA-27-007
Tribal Self-Governance Planning (HHS-2026-IHS-TSGP-0001),Indian Health Service,https://www.grants.gov/search-results-detail/360300,08/14/2025,,forecasted,,,,,360300,HHS-2026-IHS-TSGP-0001
Tribal Self-Governance Negotiation (HHS-2026-IHS-TSGN-0001),Indian Health Service,https://www.grants.gov/search-results-detail/360299,08/14/2025,,forecasted,,,,,360299,HHS-2026-IHS-TSGN-0001
"HEAL: Translating Addiction Epidemiology, Prevention, Treatment, and Recovery Research into Practice (R61/R33 - Clinical Trial Optional) (FOR-DA-26-001)",National Institutes of Health,https://www.grants.gov/search-results-detail/358819,05/05/2025,,forecasted,,,,,358819,FOR-DA-26-001
Dental Primary Care Practice-Based Research Network: Clinical Trial or Observational Study Planning and Implementation Cooperative Agreement (PAR-26-052),National Institutes of Health,https://www.grants.gov/search-results-detail/360375,08/28/2025,,forecasted,,,,,360375,PAR-26-052
Risk and Protective Factors of Family Health and Family Level Interventions (R01 Clinical Trial Optional) (PAR-25-317),National Institutes of Health,https://www.grants.gov/search-results-detail/357713,12/13/2024,05/08/2027,posted,,,,,357713,PAR-25-317
State Occupational Safety and Health Surveillance Program (U60) (RFA-OH-26-007),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/357417,11/27/2024,,forecasted,,,,,357417,RFA-OH-26-007
The Role of Work in Health Disparities in the U.S. (R01 Clinical Trials Optional) (PAR-25-292),National Institutes of Health,https://www.grants.gov/search-results-detail/357379,11/25/2024,01/07/2028,posted,,,,,357379,PAR-25-292
NLM Grants for Scholarly Works in Biomedicine and Health (G13 Clinical Trial Not Allowed) (PAR-23-183),National Institutes of Health,https://www.grants.gov/search-results-detail/348175,05/17/2023,02/26/2026,posted,,,,,348175,PAR-23-183
Single Source: National Longitudinal Study of Adolescent to Adult (Add) Health Wave VII (U01 Clinical Trial Not Allowed) (RFA-AG-26-001),National Institutes of Health,https://www.grants.gov/search-results-detail/358815,06/16/2025,10/17/2025,posted,,,,,358815,RFA-AG-26-001
Environmental Health Sciences Core Centers Program (P30 Clinical Trials Optional) (RFA-ES-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/357121,11/14/2024,01/29/2027,posted,,,,,357121,RFA-ES-25-002
Effectiveness Trials to Test Mental Health System Interventions (R61/R33 Clinical Trial Required) (PAR-25-285),National Institutes of Health,https://www.grants.gov/search-results-detail/357434,11/26/2024,10/15/2027,posted,,,,,357434,PAR-25-285
Navigator Emergency Department Diversion Models for Non-Urgent Mental Health Concerns (R34 Clinical Trial Required) (PAR-25-288),National Institutes of Health,https://www.grants.gov/search-results-detail/357386,11/25/2024,01/07/2028,posted,,,,,357386,PAR-25-288
Navigator Emergency Department Diversion Models for Non-Urgent Mental Health Concerns (R01 Clinical Trial Required) (PAR-25-289),National Institutes of Health,https://www.grants.gov/search-results-detail/357382,11/25/2024,01/07/2028,posted,,,,,357382,PAR-25-289
Strengthening Global Health Security: Partnering for GHSA Implementation in Senegal (CDC-RFA-JG-26-0048),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360334,08/22/2025,,forecasted,,,,,360334,CDC-RFA-JG-26-0048
Technologies for Improving Minority Health and Eliminating Health Disparities (R41/R42- Clinical Trial Optional) (RFA-MD-24-007),National Institutes of Health,https://www.grants.gov/search-results-detail/352883,03/08/2024,12/09/2026,posted,,,,,352883,RFA-MD-24-007
Strategies to Improve Health Outcomes and Reduce Health Disparities in Rural Populations (R01 Clinical Trial Optional) (FOR-NR-25-007),National Institutes of Health,https://www.grants.gov/search-results-detail/358932,05/13/2025,,forecasted,,,,,358932,FOR-NR-25-007
Unveiling Health and Healthcare Disparities in Non-Communicable and Chronic Diseases in Latin America: Setting the Stage for Better Health Outcomes Across the Hemisphere (R01 - Clinical Trials Not Allowed) (PAR-25-377),National Institutes of Health,https://www.grants.gov/search-results-detail/358087,01/08/2025,01/07/2027,posted,,,,,358087,PAR-25-377
Service Area Competition (HRSA-26-002),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360116,07/22/2025,09/22/2025,posted,,,,,360116,HRSA-26-002
Service Area Competition (HRSA-26-006),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360139,07/24/2025,11/10/2025,posted,,,,,360139,HRSA-26-006
Service Area Competition (HRSA-26-005),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360138,07/24/2025,10/10/2025,posted,,,,,360138,HRSA-26-005
Service Area Competition (HRSA-26-004),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360137,07/24/2025,09/29/2025,posted,,,,,360137,HRSA-26-004
Commercial Fishing Occupational Safety Training Project Grants (T03) (RFA-OH-22-006),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334972,07/11/2022,01/31/2028,posted,,,,,334972,RFA-OH-22-006
FY23 Evaluation Monitoring Program (USDA-FS-FHP-EM-FY2023),Forest Service,https://www.grants.gov/search-results-detail/343233,09/01/2022,,forecasted,,,,,343233,USDA-FS-FHP-EM-FY2023
Health Home for Individuals with Chronic Conditions (CMS-2J2-23-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343827,09/30/2022,10/01/2025,posted,,,,,343827,CMS-2J2-23-001
Culture of Research and University Exchanges Prep program (CRUX) in One Health and Agricultural STEM (AFHAR-FY21-01),U.S. Mission to Zimbabwe,https://www.grants.gov/search-results-detail/334092,06/10/2021,,forecasted,,,,,334092,AFHAR-FY21-01
Community Led Monitoring Intervention (MAPUTO-PCO-20-001),U.S. Mission to Mozambique,https://www.grants.gov/search-results-detail/327345,05/27/2020,,forecasted,,,,,327345,MAPUTO-PCO-20-001
Global Infectious Disease Research Training Program (D43 Clinical Trial Optional) (PAR-24-174),National Institutes of Health,https://www.grants.gov/search-results-detail/353590,04/17/2024,08/06/2026,posted,,,,,353590,PAR-24-174
Animal and Veterinary Innovation Centers (U18) (PAR-24-251),Food and Drug Administration,https://www.grants.gov/search-results-detail/355044,06/20/2024,05/12/2028,posted,,,,,355044,PAR-24-251
Optimizing Behavioral Sleep Interventions for Adolescents and Young Adults (FOR-MH-26-135),National Institutes of Health,https://www.grants.gov/search-results-detail/359159,05/28/2025,,forecasted,,,,,359159,FOR-MH-26-135
Advancing Nutrition-related Research Across the Lifespan (FOR-NR-25-001),National Institutes of Health,https://www.grants.gov/search-results-detail/358896,05/28/2025,,forecasted,,,,,358896,FOR-NR-25-001
"Cellular Senescence Network (SenNet): SenNet Data Coordination, Integration and Organizational Center (U24 or UM1) (NOT-RM-25-019)",National Institutes of Health,https://www.grants.gov/search-results-detail/359169,05/28/2025,,forecasted,,,,,359169,NOT-RM-25-019
Forecast to Renew the Notice of Funding Opportunity Announcement for the Multiple Chronic Disease Research Centers (FOR-MD-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/358870,05/12/2025,,forecasted,,,,,358870,FOR-MD-25-002
"NIH Blueprint for Neuroscience: Coordination Center for Interoception Research (BPCCIR) (U24, Clinical Trial Not Allowed) (NOT-AT-25-005)",National Institutes of Health,https://www.grants.gov/search-results-detail/358814,05/05/2025,,forecasted,,,,,358814,NOT-AT-25-005
Environmental Engineering (PD-20-1440),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/320490,09/11/2019,,posted,,,,,320490,PD-20-1440
Advancing Research on Empirically-Supported Interventions for Older Adults Living with Serious Mental Illness (SMI) (FOR-MH-26-180),National Institutes of Health,https://www.grants.gov/search-results-detail/359201,06/17/2025,,forecasted,,,,,359201,FOR-MH-26-180
Using Archived Data and Specimen Collections to Advance Maternal and Pediatric HIV/AIDS Research (FOR-HD-25-023),National Institutes of Health,https://www.grants.gov/search-results-detail/359945,07/08/2025,,forecasted,,,,,359945,FOR-HD-25-023
Clinical Data Ecosystem for Genomics (CDEG) (FOR-HG-26-005),National Institutes of Health,https://www.grants.gov/search-results-detail/359208,07/17/2025,,forecasted,,,,,359208,FOR-HG-26-005
Tribal Undergraduate to Graduate Research Training and Leadership Experiences (TURTLE) Program (UE5/T32) (PAR-24-235),National Institutes of Health,https://www.grants.gov/search-results-detail/356309,09/03/2024,01/25/2027,posted,,,,,356309,PAR-24-235
