Grant Name,Sponsor,Link,Open Date,Deadline,Status
Continued Development of the Gabriella Miller Kids First Pediatric Data Resource Center (U2C Clinical Trials Not Allowed) (NOT-RM-25-035),National Institutes of Health,https://www.grants.gov/search-results-detail/358959,05/14/2025,,forecasted
ancient DNA for Modern Genomics (aDMG) Data Generation and Resource Center (FOR-HG-26-003),National Institutes of Health,https://www.grants.gov/search-results-detail/359206,07/15/2025,,forecasted
"Community Engagement Evaluation and Data Coordination (CEED) Hub to Advance Data and Practice Transformation for Optimizing Oral Health For All Across the Lifespan (U01, Clinical Trial Not Allowed) (NOT-DE-26-005)",National Institutes of Health,https://www.grants.gov/search-results-detail/359123,05/27/2025,,forecasted
Cooperative Agreement for affiliated Partner with the Great Lakes-Northern Forest Cooperative Ecosystem Studies Unit (CESU) (G25AS00346),Geological Survey,https://www.grants.gov/search-results-detail/360349,08/22/2025,09/22/2025,posted
National Center on Child Maltreatment Fatality Data Practices and Reporting (HHS-2025-ACF-ACYF-CA-0074),Administration for Children and Families - ACYF/CB,https://www.grants.gov/search-results-detail/355699,01/14/2025,01/22/2026,posted
Omics Phenotypes Related to Down Syndrome for the INCLUDE Project (X01 Clinical Trial Not Allowed) (PAR-24-081),National Institutes of Health,https://www.grants.gov/search-results-detail/351318,12/05/2023,03/13/2026,posted
Funding for New Counter-Disinformation Game (S-NL800-20-GR-3011),U.S. Mission to the Netherlands,https://www.grants.gov/search-results-detail/334791,07/19/2021,,forecasted
Computational and Data-Enabled Science and Engineering (PD-24-8084),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356055,08/15/2024,,posted
Forecast to Publish a Funding Opportunity Announcement for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Coordinating Center (FOR-MD-25-009),National Institutes of Health,https://www.grants.gov/search-results-detail/359864,06/27/2025,,forecasted
PRIMED-AI: Multi-use Framework Playbooks (UG3 Clinical Trial Not Allowed) (NOT-RM-25-020),National Institutes of Health,https://www.grants.gov/search-results-detail/359271,06/06/2025,,forecasted
Annual Engagement Innovation Fund Italy (02PDSMISSIONITALY),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/351555,12/19/2023,,forecasted
Health Equity Data Access Program (HEDAP) (CMS-2L2-25-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/355646,07/25/2024,,forecasted
For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental influences on Child Health Outcomes (ECHO) Program: Dissertation Grant (R36) (FOR-RFA-OD-25-004),National Institutes of Health,https://www.grants.gov/search-results-detail/359149,05/27/2025,,forecasted
For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental Influences on Child Health Outcomes (ECHO) Program: Ruth L. Kirschstein NRSA Individual Postdoctoral Fellowship (F32) (FOR-RFA-OD-25-005),National Institutes of Health,https://www.grants.gov/search-results-detail/359150,05/27/2025,,forecasted
"Single Source: Accelerating Medicines Partnership&reg; Schizophrenia (AMP&reg; SCZ): Clinical Trial Data Processing, Analysis, and Coordination Center (FOR-MH-26-205)",National Institutes of Health,https://www.grants.gov/search-results-detail/359699,06/17/2025,,forecasted
Data Coordinating Center for the Aging and Alzheimer&rsquo;s Disease Mouse Brain Atlas (AD-MBA) (FOR-RFA-AG-26-012),National Institutes of Health,https://www.grants.gov/search-results-detail/359740,06/20/2025,,forecasted
Enhancement and Management of Established Biomedical Data Repositories and Knowledgebases (U24 Clinical Trial Not Allowed) (PAR-23-237),National Institutes of Health,https://www.grants.gov/search-results-detail/350051,08/30/2023,01/25/2026,posted
Data Standards for Tobacco Research and Scientific Review Phase 2 (FOR-FD-23-027),Food and Drug Administration,https://www.grants.gov/search-results-detail/347925,05/04/2023,,forecasted
Promote Transparency by Enhancing Citizens&rsquo; Access to Information on Public Revenues. (PGO-FY2024-FTIF-01),U.S. Mission to Mauritania,https://www.grants.gov/search-results-detail/360246,08/06/2025,09/08/2025,posted
Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional) (PA-25-169),National Institutes of Health,https://www.grants.gov/search-results-detail/358073,01/08/2025,05/07/2026,posted
Research Grants in Clinical Informatics (R01 Clinical Trial Optional) (FOR-LM-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/359004,07/22/2025,,forecasted
Prospective Observational Comparative Effectiveness Research in Clinical Neurosciences (UG3/UH3 Clinical Trial Not Allowed) (PAR-25-048),National Institutes of Health,https://www.grants.gov/search-results-detail/358084,01/08/2025,09/07/2025,posted
Applied regulatory science research to evaluate and treat cardiotoxicity of oncology therapeutics (FOR-FD-25-015),Food and Drug Administration,https://www.grants.gov/search-results-detail/357261,11/20/2024,,forecasted
Promoting Resources and Opportunities for People with Autism and Fragile X and their Families Across the Lifespan (CDC-RFA-DD-26-0025),Centers for Disease Control - NCBDDD,https://www.grants.gov/search-results-detail/360357,08/25/2025,,forecasted
Sociology (PD-98-1331),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/45810,03/06/2009,,posted
Data Management (P11AT80708),National Park Service,https://www.grants.gov/search-results-detail/113293,08/10/2011,,posted
Secondary Analysis and Integration of Existing Data to Elucidate Cancer Risk and Related Outcomes (R21 Clinical Trials Not Allowed) (PAR-25-096),National Institutes of Health,https://www.grants.gov/search-results-detail/357205,11/18/2024,09/07/2026,posted
Limited Competition for the HEAL Initiative: HEALthy Brain and Child Development (HBCD) Study &ndash; Coordinating Administrative Core and Data Coordinating Center (U24 Clinical Trial Not Allowed) (FOR-DA-26-003),National Institutes of Health,https://www.grants.gov/search-results-detail/358853,05/09/2025,,forecasted
Archiving and Documenting Child Health and Human Development Data Sets (R03 Clinical Trial Not Allowed) (PAR-25-092),National Institutes of Health,https://www.grants.gov/search-results-detail/357179,11/18/2024,11/16/2025,posted
Secondary Analysis and Integration of Existing Data to Elucidate Cancer Risk and Related Outcomes (R01 Clinical Trial Not Allowed) (PAR-25-095),National Institutes of Health,https://www.grants.gov/search-results-detail/357204,11/18/2024,09/07/2026,posted
Integrated Data Systems &amp; Services (25-544),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/360371,08/27/2025,12/04/2025,posted
Partnerships with MCC Program (95332419N0001),Millennium Challenge Corporation,https://www.grants.gov/search-results-detail/314279,03/26/2019,03/31/2027,posted
Cooperative Agreement for affiliated Partner with the North Atlantic Coast Cooperative Ecosystem Studies Unit (G25AS00341),Geological Survey,https://www.grants.gov/search-results-detail/360271,08/08/2025,09/08/2025,posted
