Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
"HEAL Initiative: Integrative Management of chronic Pain and OUD for Whole Recovery (IMPOWR) - Building Engagement, Assistance, Capacity, Outreach, and Networks (BEACON) Center (RFA-DA-27-006)",National Institutes of Health,https://www.grants.gov/search-results-detail/360366,360366,RFA-DA-27-006,08/27/2025,,forecasted
Leading Edge Acceleration Projects for Health IT (LEAP) (ONC-NAP-AX-22-001),Office of the National Coordinator,https://www.grants.gov/search-results-detail/336506,336506,ONC-NAP-AX-22-001,11/10/2021,,forecasted
Innovative Approaches for Reducing Disparities in Kidney Health (MP-CPI-25-002),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355825,355825,MP-CPI-25-002,08/01/2024,,forecasted
For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental influences on Child Health Outcomes (ECHO) Program: Dissertation Grant (R36) (FOR-RFA-OD-25-004),National Institutes of Health,https://www.grants.gov/search-results-detail/359149,359149,FOR-RFA-OD-25-004,05/27/2025,,forecasted
Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health in Bangladesh (CDC-RFA-JG-26-0039),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360328,360328,CDC-RFA-JG-26-0039,08/21/2025,,forecasted
Improve and Strengthen the Nigerian National Public Health Institute's Management Capacity and Public Health Functions (CDC-RFA-JG-26-0043),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360332,360332,CDC-RFA-JG-26-0043,08/22/2025,,forecasted
Strengthening public health efforts and partnerships to protect and improve health in the Democratic Republic of the Congo (DRC) (CDC-RFA-JG-26-0044),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360331,360331,CDC-RFA-JG-26-0044,08/22/2025,,forecasted
Improving Health Security and Building International Health Regulations Core Capacities in the Republic of Uganda (CDC-RFA-JG-26-0054),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360339,360339,CDC-RFA-JG-26-0054,08/22/2025,,forecasted
National Center for Construction Safety and Health Research and Translation (U54) (RFA-OH-24-001),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/345738,345738,RFA-OH-24-001,09/13/2023,12/01/2026,posted
Research Grants in Clinical Informatics (R01 Clinical Trial Optional) (FOR-LM-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/359004,359004,FOR-LM-25-002,07/22/2025,,forecasted
REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional (FOR-FD-25-012),Food and Drug Administration,https://www.grants.gov/search-results-detail/356052,356052,FOR-FD-25-012,08/14/2024,,forecasted
Economic and Modeling Analyses to Support Immunization Policy and Programs (RFA-IP-26-032),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/360198,360198,RFA-IP-26-032,08/01/2025,,forecasted
Promoting Resources and Opportunities for People with Autism and Fragile X and their Families Across the Lifespan (CDC-RFA-DD-26-0025),Centers for Disease Control - NCBDDD,https://www.grants.gov/search-results-detail/360357,360357,CDC-RFA-DD-26-0025,08/25/2025,,forecasted
Basic Research in Cancer Health Disparities (R21 Clinical Trial Not Allowed) (PAR-25-244),National Institutes of Health,https://www.grants.gov/search-results-detail/357193,357193,PAR-25-244,11/18/2024,11/16/2027,posted
Personal Health Informatics for Delivering Actionable Insights to Individuals (R01 Clinical Trial Optional) (PAR-25-235),National Institutes of Health,https://www.grants.gov/search-results-detail/357273,357273,PAR-25-235,11/21/2024,01/07/2027,posted
For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental Influences on Child Health Outcomes (ECHO) Program: Ruth L. Kirschstein NRSA Individual Postdoctoral Fellowship (F32) (FOR-RFA-OD-25-005),National Institutes of Health,https://www.grants.gov/search-results-detail/359150,359150,FOR-RFA-OD-25-005,05/27/2025,,forecasted
"National Center on Head Start Early Learning, Health and Family Engagement (HHS-2026-ACF-OHS-HC-0002)",Administration for Children and Families - OHS,https://www.grants.gov/search-results-detail/359836,359836,HHS-2026-ACF-OHS-HC-0002,06/26/2025,,forecasted
Building Interdisciplinary Research Careers in Women's Health (BIRCWH) (K12 Clinical Trial Optional) (RFA-OD-24-013),National Institutes of Health,https://www.grants.gov/search-results-detail/352637,352637,RFA-OD-24-013,02/26/2024,05/28/2026,posted
Laboratories to Optimize Digital Health (R01 Clinical Trial Required) (PAR-25-136),National Institutes of Health,https://www.grants.gov/search-results-detail/357034,357034,PAR-25-136,11/07/2024,01/07/2028,posted
Interventions to Reduce Sleep Health Disparities (R01 - Clinical Trials Optional) (PAR-24-330),National Institutes of Health,https://www.grants.gov/search-results-detail/357572,357572,PAR-24-330,12/06/2024,09/07/2027,posted
Causal Hypotheses on the Oral-Systemic Health Impacts of Human Behaviors among People with Chronic Conditions (FOR-DE-26-004),National Institutes of Health,https://www.grants.gov/search-results-detail/360160,360160,FOR-DE-26-004,07/29/2025,,forecasted
Improving global health security in C&ocirc;te d'Ivoire through collaboration with local partners (CDC-RFA-JG-26-0042),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360324,360324,CDC-RFA-JG-26-0042,08/21/2025,,forecasted
Strengthening Public Health Systems in Sierra Leone (CDC-RFA-JG-26-0050),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360335,360335,CDC-RFA-JG-26-0050,08/22/2025,,forecasted
"Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation (CDC-RFA-JG-26-0108)",Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360345,360345,CDC-RFA-JG-26-0108,08/22/2025,,forecasted
Innovations for Healthy Living - Improving Minority Health and Eliminating Health Disparities (R43/R44 - Clinical Trial Optional) (RFA-MD-24-006),National Institutes of Health,https://www.grants.gov/search-results-detail/352882,352882,RFA-MD-24-006,03/08/2024,12/09/2026,posted
Advancing Learning Health Care Research in Outpatient Mental Health Treatment Settings (R34 Clinical Trial Optional) (PAR-25-278),National Institutes of Health,https://www.grants.gov/search-results-detail/357327,357327,PAR-25-278,11/21/2024,01/07/2026,posted
Tanzania Global Health Security Partner Engagement: Advancing Efforts and Strategies to Protect and Improve Public Health (CDC-RFA-JG-26-0052),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360337,360337,CDC-RFA-JG-26-0052,08/22/2025,,forecasted
Commercial Fishing Occupational Safety Research Cooperative Agreement (U01) (RFA-OH-22-005),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334971,334971,RFA-OH-22-005,07/08/2022,01/31/2028,posted
Adult-Adolescent Brain Cognitive Development (A-ABCD) Study Renewal-Research Project Sites (U01) (FOR-DA-27-002),National Institutes of Health,https://www.grants.gov/search-results-detail/358885,358885,FOR-DA-27-002,05/28/2025,,forecasted
Forecast to Publish a Notice of Funding Opportunity Announcement for the Research Centers in Minority Institutions (RCMI) Coordinating Center (FOR-MD-25-001),National Institutes of Health,https://www.grants.gov/search-results-detail/358857,358857,FOR-MD-25-001,05/12/2025,,forecasted
"Adult-Adolescent Brain Cognitive Development (A-ABCD) Study Renewal-Data Analysis, Informatics and Resource Center, and Coordinating Center (U24) (FOR-DA-27-007)",National Institutes of Health,https://www.grants.gov/search-results-detail/359275,359275,FOR-DA-27-007,06/06/2025,,forecasted
Tribal Self-Governance Planning (HHS-2026-IHS-TSGP-0001),Indian Health Service,https://www.grants.gov/search-results-detail/360300,360300,HHS-2026-IHS-TSGP-0001,08/14/2025,,forecasted
Tribal Self-Governance Negotiation (HHS-2026-IHS-TSGN-0001),Indian Health Service,https://www.grants.gov/search-results-detail/360299,360299,HHS-2026-IHS-TSGN-0001,08/14/2025,,forecasted
"HEAL: Translating Addiction Epidemiology, Prevention, Treatment, and Recovery Research into Practice (R61/R33 - Clinical Trial Optional) (FOR-DA-26-001)",National Institutes of Health,https://www.grants.gov/search-results-detail/358819,358819,FOR-DA-26-001,05/05/2025,,forecasted
Dental Primary Care Practice-Based Research Network: Clinical Trial or Observational Study Planning and Implementation Cooperative Agreement (PAR-26-052),National Institutes of Health,https://www.grants.gov/search-results-detail/360375,360375,PAR-26-052,08/28/2025,,forecasted
Risk and Protective Factors of Family Health and Family Level Interventions (R01 Clinical Trial Optional) (PAR-25-317),National Institutes of Health,https://www.grants.gov/search-results-detail/357713,357713,PAR-25-317,12/13/2024,05/08/2027,posted
State Occupational Safety and Health Surveillance Program (U60) (RFA-OH-26-007),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/357417,357417,RFA-OH-26-007,11/27/2024,,forecasted
The Role of Work in Health Disparities in the U.S. (R01 Clinical Trials Optional) (PAR-25-292),National Institutes of Health,https://www.grants.gov/search-results-detail/357379,357379,PAR-25-292,11/25/2024,01/07/2028,posted
NLM Grants for Scholarly Works in Biomedicine and Health (G13 Clinical Trial Not Allowed) (PAR-23-183),National Institutes of Health,https://www.grants.gov/search-results-detail/348175,348175,PAR-23-183,05/17/2023,02/26/2026,posted
Single Source: National Longitudinal Study of Adolescent to Adult (Add) Health Wave VII (U01 Clinical Trial Not Allowed) (RFA-AG-26-001),National Institutes of Health,https://www.grants.gov/search-results-detail/358815,358815,RFA-AG-26-001,06/16/2025,10/17/2025,posted
Environmental Health Sciences Core Centers Program (P30 Clinical Trials Optional) (RFA-ES-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/357121,357121,RFA-ES-25-002,11/14/2024,01/29/2027,posted
Effectiveness Trials to Test Mental Health System Interventions (R61/R33 Clinical Trial Required) (PAR-25-285),National Institutes of Health,https://www.grants.gov/search-results-detail/357434,357434,PAR-25-285,11/26/2024,10/15/2027,posted
Navigator Emergency Department Diversion Models for Non-Urgent Mental Health Concerns (R34 Clinical Trial Required) (PAR-25-288),National Institutes of Health,https://www.grants.gov/search-results-detail/357386,357386,PAR-25-288,11/25/2024,01/07/2028,posted
Navigator Emergency Department Diversion Models for Non-Urgent Mental Health Concerns (R01 Clinical Trial Required) (PAR-25-289),National Institutes of Health,https://www.grants.gov/search-results-detail/357382,357382,PAR-25-289,11/25/2024,01/07/2028,posted
Strengthening Global Health Security: Partnering for GHSA Implementation in Senegal (CDC-RFA-JG-26-0048),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360334,360334,CDC-RFA-JG-26-0048,08/22/2025,,forecasted
Technologies for Improving Minority Health and Eliminating Health Disparities (R41/R42- Clinical Trial Optional) (RFA-MD-24-007),National Institutes of Health,https://www.grants.gov/search-results-detail/352883,352883,RFA-MD-24-007,03/08/2024,12/09/2026,posted
Strategies to Improve Health Outcomes and Reduce Health Disparities in Rural Populations (R01 Clinical Trial Optional) (FOR-NR-25-007),National Institutes of Health,https://www.grants.gov/search-results-detail/358932,358932,FOR-NR-25-007,05/13/2025,,forecasted
Unveiling Health and Healthcare Disparities in Non-Communicable and Chronic Diseases in Latin America: Setting the Stage for Better Health Outcomes Across the Hemisphere (R01 - Clinical Trials Not Allowed) (PAR-25-377),National Institutes of Health,https://www.grants.gov/search-results-detail/358087,358087,PAR-25-377,01/08/2025,01/07/2027,posted
Service Area Competition (HRSA-26-002),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360116,360116,HRSA-26-002,07/22/2025,09/22/2025,posted
Service Area Competition (HRSA-26-006),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360139,360139,HRSA-26-006,07/24/2025,11/10/2025,posted
Service Area Competition (HRSA-26-005),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360138,360138,HRSA-26-005,07/24/2025,10/10/2025,posted
Service Area Competition (HRSA-26-004),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360137,360137,HRSA-26-004,07/24/2025,09/29/2025,posted
Commercial Fishing Occupational Safety Training Project Grants (T03) (RFA-OH-22-006),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334972,334972,RFA-OH-22-006,07/11/2022,01/31/2028,posted
FY23 Evaluation Monitoring Program (USDA-FS-FHP-EM-FY2023),Forest Service,https://www.grants.gov/search-results-detail/343233,343233,USDA-FS-FHP-EM-FY2023,09/01/2022,,forecasted
Health Home for Individuals with Chronic Conditions (CMS-2J2-23-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343827,343827,CMS-2J2-23-001,09/30/2022,10/01/2025,posted
Culture of Research and University Exchanges Prep program (CRUX) in One Health and Agricultural STEM (AFHAR-FY21-01),U.S. Mission to Zimbabwe,https://www.grants.gov/search-results-detail/334092,334092,AFHAR-FY21-01,06/10/2021,,forecasted
Community Led Monitoring Intervention (MAPUTO-PCO-20-001),U.S. Mission to Mozambique,https://www.grants.gov/search-results-detail/327345,327345,MAPUTO-PCO-20-001,05/27/2020,,forecasted
Global Infectious Disease Research Training Program (D43 Clinical Trial Optional) (PAR-24-174),National Institutes of Health,https://www.grants.gov/search-results-detail/353590,353590,PAR-24-174,04/17/2024,08/06/2026,posted
Animal and Veterinary Innovation Centers (U18) (PAR-24-251),Food and Drug Administration,https://www.grants.gov/search-results-detail/355044,355044,PAR-24-251,06/20/2024,05/12/2028,posted
Optimizing Behavioral Sleep Interventions for Adolescents and Young Adults (FOR-MH-26-135),National Institutes of Health,https://www.grants.gov/search-results-detail/359159,359159,FOR-MH-26-135,05/28/2025,,forecasted
Advancing Nutrition-related Research Across the Lifespan (FOR-NR-25-001),National Institutes of Health,https://www.grants.gov/search-results-detail/358896,358896,FOR-NR-25-001,05/28/2025,,forecasted
"Cellular Senescence Network (SenNet): SenNet Data Coordination, Integration and Organizational Center (U24 or UM1) (NOT-RM-25-019)",National Institutes of Health,https://www.grants.gov/search-results-detail/359169,359169,NOT-RM-25-019,05/28/2025,,forecasted
Forecast to Renew the Notice of Funding Opportunity Announcement for the Multiple Chronic Disease Research Centers (FOR-MD-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/358870,358870,FOR-MD-25-002,05/12/2025,,forecasted
"NIH Blueprint for Neuroscience: Coordination Center for Interoception Research (BPCCIR) (U24, Clinical Trial Not Allowed) (NOT-AT-25-005)",National Institutes of Health,https://www.grants.gov/search-results-detail/358814,358814,NOT-AT-25-005,05/05/2025,,forecasted
Environmental Engineering (PD-20-1440),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/320490,320490,PD-20-1440,09/11/2019,,posted
Advancing Research on Empirically-Supported Interventions for Older Adults Living with Serious Mental Illness (SMI) (FOR-MH-26-180),National Institutes of Health,https://www.grants.gov/search-results-detail/359201,359201,FOR-MH-26-180,06/17/2025,,forecasted
Using Archived Data and Specimen Collections to Advance Maternal and Pediatric HIV/AIDS Research (FOR-HD-25-023),National Institutes of Health,https://www.grants.gov/search-results-detail/359945,359945,FOR-HD-25-023,07/08/2025,,forecasted
Clinical Data Ecosystem for Genomics (CDEG) (FOR-HG-26-005),National Institutes of Health,https://www.grants.gov/search-results-detail/359208,359208,FOR-HG-26-005,07/17/2025,,forecasted
Tribal Undergraduate to Graduate Research Training and Leadership Experiences (TURTLE) Program (UE5/T32) (PAR-24-235),National Institutes of Health,https://www.grants.gov/search-results-detail/356309,356309,PAR-24-235,09/03/2024,01/25/2027,posted
