Grant name,Sponsor org,Link,Award max,RFP,Innovation/execution,Latest preparation start date,App deadline,Partners notes,Match req %,Timeline summary,App process,App package,Extra notes
Fire Science Innovations through Research and Education (PD-25-345Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/358568,,https://www.grants.gov/search-results-detail/358568,,,02/10/2026,,,Open 03/16/2025 → Close 02/10/2026,,,Status: posted
Development of Medications to Prevent and Treat Substance Use Disorders and Overdose (UG3/UH3 - Clinical Trial Optional) (FOR-DA-26-004),National Institutes of Health,https://www.grants.gov/search-results-detail/358937,,https://www.grants.gov/search-results-detail/358937,,,,,,Open 05/13/2025 → Close ,,,Status: forecasted
NLM Research Grants in Biomedical Informatics and Data Science (R01 Clinical Trial Optional) (PAR-25-238),National Institutes of Health,https://www.grants.gov/search-results-detail/357380,,https://www.grants.gov/search-results-detail/357380,,,03/05/2026,,,Open 11/25/2024 → Close 03/05/2026,,,Status: posted
U.S. Embassy Luanda Public Diplomacy Section Request for a Full Proposal Application (DOS-PAS-ANG-FY25-01),U.S. Mission to Angola,https://www.grants.gov/search-results-detail/358783,,https://www.grants.gov/search-results-detail/358783,,,,,,Open 04/30/2025 → Close ,,,Status: forecasted
"NIH Blueprint for Neuroscience: Coordination Center for Interoception Research (BPCCIR) (U24, Clinical Trial Not Allowed) (NOT-AT-25-005)",National Institutes of Health,https://www.grants.gov/search-results-detail/358814,,https://www.grants.gov/search-results-detail/358814,,,,,,Open 05/05/2025 → Close ,,,Status: forecasted
Research Grants in Clinical Informatics (R01 Clinical Trial Optional) (FOR-LM-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/359004,,https://www.grants.gov/search-results-detail/359004,,,,,,Open 07/22/2025 → Close ,,,Status: forecasted
Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R01 Clinical Trial Optional) (RFA-MH-25-205),National Institutes of Health,https://www.grants.gov/search-results-detail/356910,,https://www.grants.gov/search-results-detail/356910,,,10/20/2025,,,Open 10/30/2024 → Close 10/20/2025,,,Status: posted
Modular R01s in Cancer Control and Population Sciences (R01 Clinical Trial Optional) (PA-25-172),National Institutes of Health,https://www.grants.gov/search-results-detail/357030,,https://www.grants.gov/search-results-detail/357030,,,01/07/2028,,,Open 11/07/2024 → Close 01/07/2028,,,Status: posted
Mechanisms that Impact Cancer Risk after Bariatric Surgery (R21 Clinical Trial Not Allowed) (PAR-25-044),National Institutes of Health,https://www.grants.gov/search-results-detail/356342,,https://www.grants.gov/search-results-detail/356342,,,01/07/2028,,,Open 09/05/2024 → Close 01/07/2028,,,Status: posted
PDS Italy Annual Program Statement (202501),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/357680,,https://www.grants.gov/search-results-detail/357680,,,,,,Open 12/12/2024 → Close ,,,Status: forecasted
Improving Working Conditions in the Processing of Waste from Electrical and Electronic Equipment (E-Waste) (RFI-ILAB-25-01),Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/357899,,https://www.grants.gov/search-results-detail/357899,,,,,,Open 12/23/2024 → Close ,,,Status: forecasted
Collaborative Research (20251119-RZ),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/357536,,https://www.grants.gov/search-results-detail/357536,,,,,,Open 12/05/2024 → Close ,,,Status: forecasted
"Security, Privacy, and Trust in Cyberspace (25-515)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/357554,,https://www.grants.gov/search-results-detail/357554,,,09/29/2025,,,Open 12/06/2024 → Close 09/29/2025,,,Status: posted
Scholarly Editions and Translations (20241127-RQ),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/351491,,https://www.grants.gov/search-results-detail/351491,,,12/03/2025,,,Open 07/25/2024 → Close 12/03/2025,,,Status: posted
Enhancing Interpretation at Ford's Theatre (P17AS00001),National Park Service,https://www.grants.gov/search-results-detail/289185,,https://www.grants.gov/search-results-detail/289185,,,,,,Open 09/28/2016 → Close ,,,Status: posted
Partnerships with MCC Program (95332419N0001),Millennium Challenge Corporation,https://www.grants.gov/search-results-detail/314279,,https://www.grants.gov/search-results-detail/314279,,,03/31/2027,,,Open 03/26/2019 → Close 03/31/2027,,,Status: posted
Research Interests of the United States Air Force Academy (formerly USAFA-BAA-2021) (FA7000-21-S-0001),Air Force Academy,https://www.grants.gov/search-results-detail/330175,,https://www.grants.gov/search-results-detail/330175,,,,,,Open 12/02/2020 → Close ,,,Status: posted
Air Delivered Effects (FA8651-22-S-0001),Munitions Directorate,https://www.grants.gov/search-results-detail/338821,,https://www.grants.gov/search-results-detail/338821,,,03/21/2027,,,Open 03/22/2022 → Close 03/21/2027,,,Status: posted
Cooperative Agreement for affiliated Partner with the Desert Southwest Cooperative Ecosystem Studies Unit (CESU) (G25AS00333),Geological Survey,https://www.grants.gov/search-results-detail/360168,,https://www.grants.gov/search-results-detail/360168,,,08/29/2025,,,Open 07/29/2025 → Close 08/29/2025,,,Status: posted
Cooperative Agreement for affiliated Partner with the Desert Southwest Cooperative Ecosystem Studies Unit (CESU) (G25AS00326),Geological Survey,https://www.grants.gov/search-results-detail/359978,,https://www.grants.gov/search-results-detail/359978,,,08/31/2025,,,Open 07/10/2025 → Close 08/31/2025,,,Status: posted
Cooperative Agreement for affiliated Partner with the North Atlantic Coast Cooperative Ecosystem Studies Unit (G25AS00341),Geological Survey,https://www.grants.gov/search-results-detail/360271,,https://www.grants.gov/search-results-detail/360271,,,09/08/2025,,,Open 08/08/2025 → Close 09/08/2025,,,Status: posted
